Date,Country_name,Confirmed
2020/4/14,Albania,475
2020/4/15,Albania,494
2020/4/16,Albania,518
2020/4/17,Albania,539
2020/4/18,Albania,548
2020/4/19,Albania,562
2020/4/20,Albania,584
2020/4/21,Albania,609
2020/4/22,Albania,634
2020/4/23,Albania,663
2020/4/24,Albania,678
2020/4/25,Albania,712
2020/4/26,Albania,726
2020/4/27,Albania,736
2020/4/28,Albania,750
2020/4/29,Albania,766
2020/4/30,Albania,773
2020/5/1,Albania,782
2020/5/2,Albania,789
2020/5/3,Albania,795
2020/5/4,Albania,803
2020/5/5,Albania,820
2020/5/6,Albania,832
2020/5/7,Albania,842
2020/5/8,Albania,850
2020/5/9,Albania,856
2020/5/10,Albania,868
2020/5/11,Albania,872
2020/5/12,Albania,876
2020/5/13,Albania,880
2020/5/14,Albania,898
2020/5/15,Albania,916
2020/5/16,Albania,933
2020/5/17,Albania,946
2020/5/18,Albania,948
2020/5/19,Albania,949
2020/5/20,Albania,964
2020/5/21,Albania,969
2020/5/22,Albania,981
2020/5/23,Albania,989
2020/5/24,Albania,998
2020/5/25,Albania,1004
2020/5/26,Albania,1029
2020/5/27,Albania,1050
2020/5/28,Albania,1076
2020/5/29,Albania,1099
2020/5/30,Albania,1122
2020/5/31,Albania,1137
2020/6/1,Albania,1143
2020/6/2,Albania,1164
2020/6/3,Albania,1184
2020/6/4,Albania,1197
2020/6/5,Albania,1212
2020/6/6,Albania,1232
2020/6/7,Albania,1246
2020/6/8,Albania,1263
2020/6/9,Albania,1299
2020/6/10,Albania,1341
2020/6/11,Albania,1385
2020/6/12,Albania,1416
2020/6/13,Albania,1464
2020/6/14,Albania,1521
2020/6/15,Albania,1590
2020/6/16,Albania,1672
2020/6/17,Albania,1722
2020/6/18,Albania,1788
2020/6/19,Albania,1838
2020/6/20,Albania,1891
2020/6/21,Albania,1962
2020/6/22,Albania,1995
2020/6/23,Albania,2047
2020/6/24,Albania,2114
2020/6/25,Albania,2192
2020/6/26,Albania,2269
2020/6/27,Albania,2330
2020/6/28,Albania,2402
2020/6/29,Albania,2466
2020/6/30,Albania,2535
2020/7/1,Albania,2580
2020/7/2,Albania,2662
2020/7/3,Albania,2752
2020/7/4,Albania,2819
2020/7/5,Albania,2893
2020/7/6,Albania,2964
2020/7/7,Albania,3038
2020/7/8,Albania,3106
2020/7/9,Albania,3188
2020/7/10,Albania,3278
2020/7/11,Albania,3371
2020/7/12,Albania,3454
2020/7/13,Albania,3571
2020/7/14,Albania,3667
2020/7/15,Albania,3752
2020/7/16,Albania,3851
2020/7/17,Albania,3906
2020/7/18,Albania,4008
