Date,Province_name,Confirmed
2020/10/20,Australian Capital Territory,113
2020/10/21,Australian Capital Territory,114
2020/10/22,Australian Capital Territory,114
2020/10/23,Australian Capital Territory,114
2020/10/24,Australian Capital Territory,114
2020/10/25,Australian Capital Territory,114
2020/10/26,Australian Capital Territory,114
2020/10/27,Australian Capital Territory,114
2020/10/28,Australian Capital Territory,114
2020/10/29,Australian Capital Territory,114
2020/10/30,Australian Capital Territory,114
2020/10/31,Australian Capital Territory,114
2020/11/1,Australian Capital Territory,114
2020/11/2,Australian Capital Territory,114
2020/11/3,Australian Capital Territory,114
2020/11/4,Australian Capital Territory,114
2020/11/5,Australian Capital Territory,114
2020/11/6,Australian Capital Territory,114
2020/11/7,Australian Capital Territory,114
2020/11/8,Australian Capital Territory,114
2020/11/9,Australian Capital Territory,114
2020/11/10,Australian Capital Territory,114
2020/11/11,Australian Capital Territory,114
2020/11/12,Australian Capital Territory,114
2020/11/13,Australian Capital Territory,114
2020/11/14,Australian Capital Territory,114
2020/11/15,Australian Capital Territory,114
2020/11/16,Australian Capital Territory,114
2020/11/17,Australian Capital Territory,115
2020/11/18,Australian Capital Territory,115
2020/11/19,Australian Capital Territory,115
2020/11/20,Australian Capital Territory,115
2020/11/21,Australian Capital Territory,115
2020/11/22,Australian Capital Territory,115
2020/11/23,Australian Capital Territory,115
2020/11/24,Australian Capital Territory,115
2020/11/25,Australian Capital Territory,115
2020/11/26,Australian Capital Territory,116
2020/11/27,Australian Capital Territory,117
2020/11/28,Australian Capital Territory,117
2020/11/29,Australian Capital Territory,117
2020/11/30,Australian Capital Territory,117
2020/12/1,Australian Capital Territory,117
2020/12/2,Australian Capital Territory,117
2020/12/3,Australian Capital Territory,117
2020/12/4,Australian Capital Territory,117
2020/12/5,Australian Capital Territory,117
2020/12/6,Australian Capital Territory,117
2020/12/7,Australian Capital Territory,117
2020/12/8,Australian Capital Territory,117
2020/12/9,Australian Capital Territory,117
2020/12/10,Australian Capital Territory,117
2020/12/11,Australian Capital Territory,117
2020/12/12,Australian Capital Territory,117
2020/12/13,Australian Capital Territory,117
2020/12/14,Australian Capital Territory,117
2020/12/15,Australian Capital Territory,117
2020/12/16,Australian Capital Territory,117
2020/12/17,Australian Capital Territory,117
2020/12/18,Australian Capital Territory,117
2020/12/19,Australian Capital Territory,117
2020/12/20,Australian Capital Territory,118
2020/12/21,Australian Capital Territory,118
2020/12/22,Australian Capital Territory,118
2020/12/23,Australian Capital Territory,118
2020/12/24,Australian Capital Territory,118
2020/12/25,Australian Capital Territory,118
2020/12/26,Australian Capital Territory,118
2020/12/27,Australian Capital Territory,118
2020/12/28,Australian Capital Territory,118
2020/12/29,Australian Capital Territory,118
2020/1/22,New South Wales,0
2020/1/23,New South Wales,0
2020/1/24,New South Wales,0
2020/1/25,New South Wales,0
2020/1/26,New South Wales,3
2020/1/27,New South Wales,4
2020/1/28,New South Wales,4
2020/1/29,New South Wales,4
2020/1/30,New South Wales,4
2020/1/31,New South Wales,4
2020/2/1,New South Wales,4
